"","Gene","Chromosome"
"1","DISP3","chr1"
"2","VPS13D","chr1"
"3","PHC2","chr1"
"4","DNMT3A","chr2"
"5","TTN","chr2"
"6","TMEM40","chr3"
"7","TRAK1","chr3"
"8","SCFD2","chr4"
"9","FRAS1","chr4"
"10","TACR3","chr4"
"11","ANK2","chr4"
"12","TRAM1L1","chr4"
"13","KLHL3","chr5"
"14","GABRA1","chr5"
"15","H3C2","chr6"
"16","DDO","chr6"
"17","RBM28","chr7"
"18","NTMT1","chr9"
"19","SNAPC4","chr9"
"20","OPN4","chr10"
"21","KLRB1","chr12"
"22","SALL2","chr14"
"23","TMEM266","chr15"
"24","KLHDC4","chr16"
"25","SCARF1","chr17"
"26","NOL11","chr17"
"27","LAMA3","chr18"
"28","WDR7","chr18"
"29","THOP1","chr19"
"30","ANKRD24","chr19"
"31","RBL1","chr20"
"32","BEX5","chrX"
"33","MRPL37","chr1"
"34","IGSF3","chr1"
"35","NEK2","chr1"
"36","LRP1B","chr2"
"37","CTNNB1","chr3"
"38","CDCP1","chr3"
"39","CNTN3","chr3"
"40","PARP14","chr3"
"41","CLDN1","chr3"
"42","TENT4A","chr5"
"43","HSP90AB1","chr6"
"44","HIVEP2","chr6"
"45","SEMA3E","chr7"
"46","RELN","chr7"
"47","GFRA1","chr10"
"48","LRP6","chr12"
"49","BBS10","chr12"
"50","SUGT1","chr13"
"51","HECTD1","chr14"
"52","TLN2","chr15"
"53","ANKS3","chr16"
"54","TP53","chr17"
"55","ZNF230","chr19"
"56","IZUMO1","chr19"
"57","RTEL1","chr20"
"58","UPK3A","chr22"
"59","FAM9A","chrX"
"60","BCOR","chrX"
"61","TGIF2LX","chrX"
"62","TENM1","chrX"
"63","FLNA","chrX"
"64","DVL1","chr1"
"65","ADGRF3","chr2"
"66","TLR9","chr3"
"67","DNAH5","chr5"
"68","PPWD1","chr5"
"69","PCDHA12","chr5"
"70","PKHD1","chr6"
"71","CNTN5","chr11"
"72","PPFIA2","chr12"
"73","ADPRM","chr17"
"74","ARID3A","chr19"
"75","IFNAR2","chr21"
"76","GPR174","chrX"
"77","SLC44A5","chr1"
"78","DPYD","chr1"
"79","KCND3","chr1"
"80","SPTA1","chr1"
"81","C1orf226","chr1"
"82","GPR161","chr1"
"83","CDC73","chr1"
"84","USH2A","chr1"
"85","ATAD2B","chr2"
"86","ALK","chr2"
"87","POLR1A","chr2"
"88","GPAT2","chr2"
"89","AFF3","chr2"
"90","IL18R1","chr2"
"91","FBLN7","chr2"
"92","CLASP1","chr2"
"93","MYO7B","chr2"
